name,runtime,accuracy,precision,recall,f1,roc,cpu,gpu,gpu_memory,memory
baseline_dank_full,0.631,0.5533333333333333,0.5681544028950543,0.5541176470588235,0.5610482430017868,0.5533088235294118,0.0,0.0,0.0001220703125,0.4616508483886719
baseline_dank_half,0.7020000000000001,0.5624242424242424,0.5833333333333334,0.5409836065573771,0.5613608748481167,0.5632053711178845,0.0,0.0,0.0001220703125,0.4620094299316406
baseline_imdb,10.703,0.8964848484848484,0.8901398435648258,0.9058128316449592,0.8979079497907951,0.8964371175768655,63.78214448021753,0.0,0.12890625,0.4620170593261719
baseline_medium_full,0.655,0.8563636363636363,0.8593200468933178,0.8623529411764705,0.8608338226658837,0.8561764705882353,0.0,0.0,0.0001220703125,0.4617042541503906
baseline_medium_half,0.613,0.8472727272727273,0.8411214953271028,0.8612440191387559,0.8510638297872339,0.8470839260312943,0.0,0.0,0.0001220703125,0.4615097045898438
baseline_short_full,0.715,0.9825802939575394,0.9821428571428572,0.8870967741935484,0.9322033898305084,0.942289733855742,0.0,0.0,0.0001220703125,0.4616584777832031
baseline_short_half,0.55,0.9782372143634384,0.9914529914529916,0.8592592592592593,0.9206349206349207,0.9289918745275888,0.0,0.0,0.0001220703125,0.4616928100585938
conv_dank_full_size,10.503,0.552,0.5385756676557863,0.726,0.6183986371379897,0.552,52.785278429815996,63.0,0.5062255859375,0.4840049743652344
conv_dank_half,0.589,0.544,0.5367647058823529,0.5887096774193549,0.5615384615384615,0.5443548387096775,0.0,0.0,0.0001220703125,0.451446533203125
conv_full_imdb,183.049,0.8611,0.8258928571428571,0.9178408414367929,0.869442616787292,0.8606539421858426,59.42995635025331,68.0,5.095703125,0.4541854858398438
conv_medium_full_size,40.696,0.823,0.8458244111349036,0.79,0.8169596690796277,0.8230000000000001,51.607978595645854,76.0,0.7562255859375,0.4834785461425781
conv_medium_half,10.706,0.79,0.7826086956521741,0.8275862068965517,0.8044692737430167,0.7882700908959746,55.96443769037338,65.0,1.064453125,0.451416015625
conv_short_full_size,10.517000000000001,0.981132075471698,0.9568345323741008,0.8986486486486487,0.926829268292683,0.9462155160341691,52.853225166172145,31.0,4.3812255859375,0.4837379455566406
conv_short_half_2,10.618,0.9820466786355476,0.95,0.890625,0.9193548387096774,0.9422699036511156,50.83144280133322,26.0,4.939453125,0.4721794128417969
lstm_dank_2,91.66,0.5710000000000001,0.5697445972495089,0.58,0.574826560951437,0.5710000000000001,56.51553349776107,68.0,1.064453125,0.4703178405761719
lstm_dank_full,51.367,0.527,0.5333333333333333,0.43200000000000005,0.4773480662983426,0.5269999999999999,56.39144167198992,65.0,1.064453125,0.4574699401855469
lstm_dank_half_2,20.737,0.5820000000000001,0.581081081081081,0.669260700389105,0.6220614828209764,0.5794863172727418,57.365533416481355,67.0,0.939453125,0.4707565307617188
lstm_full_imdb,2302.808,0.8772,0.8754679802955665,0.8817225640007939,0.8785841407949376,0.8771644466849364,52.72690878068822,74.0,3.095703125,0.4608802795410156
lstm_medium_full,223.62599999999998,0.856,0.8836206896551724,0.82,0.850622406639004,0.856,53.045301983181105,74.0,1.314453125,0.4572257995605469
lstm_medium_half,91.756,0.752,0.8617021276595744,0.6230769230769231,0.7232142857142857,0.7573717948717948,53.33228045406877,75.0,1.314453125,0.4624595642089844
lstm_short_full,30.929000000000002,0.9775381850853551,0.9361702127659576,0.8918918918918919,0.9134948096885813,0.9412827335107128,65.27831000298681,52.0,0.876953125,0.45697021484375
lstm_short_half,31.06,0.8958707360861758,0.6,0.3636363636363637,0.4528301886792454,0.6655249027957786,65.0727224495666,52.0,0.876953125,0.4583549499511719
